index,question,k,threshold,doc_id,score,contenu
faiss_index_short,Une pièce de théâtre,5,0.6,42,0.3973,"TITRE: La décalcomanie
DESCRIPTION: ensemble théâtral estrarre / Julien Kosellek
CONDITIONS: Gratuit pour les experts DRAC sur réservation
"
faiss_index_short,Une pièce de théâtre,5,0.6,79,0.3997,"TITRE: Chroniques d'une Exploratrice
DESCRIPTION: Compagnie A point - GOZLAN Alice
CONDITIONS: Sur inscription
"
faiss_index_short,Une pièce de théâtre,3,0.6,64,0.3493,"TITRE: La France, Empire au Théatre de Belleville
DESCRIPTION: Cie Un Pas de Côté - Nicolas Lambert
CONDITIONS: Tarif plein 22 € / Tarif réduit 15 €
"
faiss_index_short,Une pièce de théâtre,3,0.6,50,0.3646,"TITRE: UNE MOUETTE | Anton Tchekhov                                                                      Mise en scène par Elsa Granat
DESCRIPTION: Accessibilité : surtitres français, surtitres anglais, surtitres adaptés, audiodescription et langue des signes française
CONDITIONS: Prix billet et lun"
faiss_index_short,Une pièce de théâtre,3,0.6,18,0.3959,"TITRE: Le Roi, la Reine et le Bouffon
DESCRIPTION: Cie La Grande T - Clémence Coullon
CONDITIONS: 
"
faiss_index_long,Une pièce de théâtre,5,0.4,6,0.3387,"Il s’agit d’une forme de création volontairement courte, rapide, incomplète, construite en quelques heures, en tentant d’utiliser au maximum les récits du jour. Pour dire, entre autres choses, que les théâtres peuvent accueillir ça aussi, la possibilité de venir parler, se faire écrire quelque chose"
faiss_index_long,Une pièce de théâtre,5,0.4,50,0.3502,"130 ans ont passé et la pièce, certainement la plus jouée de l’auteur, est sans cesse reprise, traduite, adaptée. C’est dans la tradition d’une réappropriation permanente des grands textes que se situe Elsa Granat, abordant les «classiques » en s’intéressant à leur capacité à toucher un public conte"
faiss_index_long,Une pièce de théâtre,5,0.4,56,0.3528,"Un tel décor au croisement des siècles est idéal pour cette œuvre oubliée, objet d’une cabale contre son auteur qui cherchait à se démarquer de la comédie italienne au profit d’une théâtralité acquise à plus de naturel. À la fois pièce de caractère et chorale, elle dépeint le quotidien de danseurs e"
faiss_index_long,Une pièce de théâtre,5,0.4,57,0.3574,"« J’appartiens à un théâtre de répertoire et je me dis que si l’on ne pose pas un regard neuf sur les œuvres, alors ce théâtre de répertoire n’a plus lieu d’être », dit Clément Hervieu-Léger, nouvel administrateur général de la Comédie-Française. Créé en 2014, avec 197 représentations à la date de c"
faiss_index_long,Une pièce de théâtre,5,0.4,79,0.3585,"Avec ce spectacle la compagnie A. poursuit sa réflexion sur les ""grands récits"" qui orientent nos sociétés et nos imaginaires, sur une scène pensée comme un laboratoire. En interrogeant le réel tel qu’il se dessine en ligne et en dévoilant les stratégies de l’extrême-droite pour imposer ses idées le"
faiss_index_long,Une pièce de théâtre,3,0.4,6,0.3387,"Il s’agit d’une forme de création volontairement courte, rapide, incomplète, construite en quelques heures, en tentant d’utiliser au maximum les récits du jour. Pour dire, entre autres choses, que les théâtres peuvent accueillir ça aussi, la possibilité de venir parler, se faire écrire quelque chose"
faiss_index_long,Une pièce de théâtre,3,0.4,50,0.3502,"130 ans ont passé et la pièce, certainement la plus jouée de l’auteur, est sans cesse reprise, traduite, adaptée. C’est dans la tradition d’une réappropriation permanente des grands textes que se situe Elsa Granat, abordant les «classiques » en s’intéressant à leur capacité à toucher un public conte"
faiss_index_long,Une pièce de théâtre,3,0.4,56,0.3528,"Un tel décor au croisement des siècles est idéal pour cette œuvre oubliée, objet d’une cabale contre son auteur qui cherchait à se démarquer de la comédie italienne au profit d’une théâtralité acquise à plus de naturel. À la fois pièce de caractère et chorale, elle dépeint le quotidien de danseurs e"
faiss_index_long,Une pièce de théâtre,5,0.6,6,0.3387,"Il s’agit d’une forme de création volontairement courte, rapide, incomplète, construite en quelques heures, en tentant d’utiliser au maximum les récits du jour. Pour dire, entre autres choses, que les théâtres peuvent accueillir ça aussi, la possibilité de venir parler, se faire écrire quelque chose"
faiss_index_long,Une pièce de théâtre,5,0.6,50,0.3502,"130 ans ont passé et la pièce, certainement la plus jouée de l’auteur, est sans cesse reprise, traduite, adaptée. C’est dans la tradition d’une réappropriation permanente des grands textes que se situe Elsa Granat, abordant les «classiques » en s’intéressant à leur capacité à toucher un public conte"
faiss_index_long,Une pièce de théâtre,5,0.6,56,0.3528,"Un tel décor au croisement des siècles est idéal pour cette œuvre oubliée, objet d’une cabale contre son auteur qui cherchait à se démarquer de la comédie italienne au profit d’une théâtralité acquise à plus de naturel. À la fois pièce de caractère et chorale, elle dépeint le quotidien de danseurs e"
faiss_index_long,Une pièce de théâtre,5,0.6,57,0.3574,"« J’appartiens à un théâtre de répertoire et je me dis que si l’on ne pose pas un regard neuf sur les œuvres, alors ce théâtre de répertoire n’a plus lieu d’être », dit Clément Hervieu-Léger, nouvel administrateur général de la Comédie-Française. Créé en 2014, avec 197 représentations à la date de c"
faiss_index_long,Une pièce de théâtre,5,0.6,79,0.3585,"Avec ce spectacle la compagnie A. poursuit sa réflexion sur les ""grands récits"" qui orientent nos sociétés et nos imaginaires, sur une scène pensée comme un laboratoire. En interrogeant le réel tel qu’il se dessine en ligne et en dévoilant les stratégies de l’extrême-droite pour imposer ses idées le"
